station_id,name,lat,lon,net_flow
8358.03,W 180 St & Fort Washington Ave,40.849972,-73.938423,3
HB101,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,32
HB103,South Waterfront Walkway - Sinatra Dr & 1 St,40.73698221818716,-74.02778059244156,-67
HB105,City Hall - Washington St & 1 St,40.73736,-74.03097,16
HB106,River St & Newark St,40.736722273163316,-74.02900660353771,174
HB201,12 St & Sinatra Dr N,40.750604142368964,-74.02402013540268,-20
HB202,14 St Ferry - 14 St & Shipyard Ln,40.752960630464955,-74.02435272932053,-73
HB203,Bloomfield St & 15 St,40.75453,-74.02658,-16
HB301,4 St & Grand St,40.7422579775645,-74.03511106967926,-7
HB302,6 St & Grand St,40.744397833095604,-74.03450086712837,-3
HB303,Clinton St & 7 St,40.74542,-74.03332,-7
HB304,7 St & Monroe St,40.74641264837719,-74.03797701001167,-20
HB305,9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209,6
HB401,Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264,-10
HB402,Madison St & 1 St,40.73879,-74.0393,-2
HB407,Adams St & 2 St,40.73981372311843,-74.03690412640572,-24
HB408,Marshall St & 2 St,40.740802,-74.042521,-5
HB409,Clinton St & Newark St,40.73743,-74.03571,6
HB410,Harrison St & 4 St,40.74312966983124,-74.0407342210294,-11
HB501,Columbus Park - Clinton St & 9 St,40.74816121065146,-74.0324530005455,-5
HB502,11 St & Washington St,40.74998490907138,-74.02715027332306,-9
HB503,Madison St & 10 St,40.74994325412246,-74.03586477041245,0
HB505,Willow Ave & 12 St,40.7518674823282,-74.03037697076797,5
HB506,Grand St & 14 St,40.75409,-74.0316,7
HB601,Church Sq Park - 5 St & Park Ave,40.74265933273143,-74.03223305940628,6
HB602,Stevens - River Ter & 6 St,40.74313282710551,-74.02698867022991,-26
HB603,8 St & Washington St,40.745983882915624,-74.02819901704788,-39
HB608,2 St & Park Ave,40.73915272763701,-74.0330819785595,7
HB609,River St & 1 St,40.73721535335381,-74.02886540972803,-79
HB610,Adams St & 12 St,40.751889392240685,-74.03329162748534,-8
HB611,4 St & River St,40.7408139,-74.0274062,5
HB612,Newark St & Washington St,40.73681,-74.0309,15
JC002,Paulus Hook,40.7141454,-74.0335519,-2
JC003,City Hall,40.7177325,-74.043845,102
JC006,Warren St,40.7211236,-74.03805095,14
JC008,Newport Pkwy,40.7287448,-74.0321082,6
JC009,Hamilton Park,40.727595966,-74.044247311,-22
JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,-11
JC014,Columbus Drive,40.71835519823214,-74.03891444206238,-3
JC018,5 Corners Library,40.734961020009514,-74.0595030784607,-16
JC019,Hilltop,40.7311689,-74.0575736,-11
JC020,Baldwin at Montgomery,40.7236589,-74.0641943,1
JC022,Oakland Ave,40.7376037,-74.0524783,-196
JC023,Brunswick St,40.7241765,-74.0506564,-7
JC024,Pershing Field,40.742677141,-74.051788633,-6
JC027,Jersey & 6th St,40.72528910781132,-74.04557168483734,-10
JC032,Newark Ave,40.72152515,-74.046304543,18
JC034,Christ Hospital,40.734785818,-74.050443636,-12
JC035,Van Vorst Park,40.71848892,-74.047726625,7
JC038,Essex Light Rail,40.7127742,-74.0364857,-3
JC051,Union St,40.7182113,-74.0836394,7
JC052,Liberty Light Rail,40.7112423,-74.0557013,-8
JC053,Lincoln Park,40.7246050998869,-74.07840594649315,0
JC055,McGinley Square,40.7253399253558,-74.06762212514877,-139
JC057,Riverview Park,40.7443187,-74.0439909,-24
JC059,Heights Elevator,40.748715945380226,-74.04044330120087,0
JC063,Jackson Square,40.71113,-74.0789,-3
JC065,Dey St,40.737711,-74.066921,-6
JC066,Newport PATH,40.7272235,-74.0337589,30
JC072,Morris Canal,40.7124188237569,-74.03852552175522,-22
JC074,Jersey & 3rd,40.72333158646436,-74.04595255851744,8
JC075,Monmouth & 6th,40.72568548362901,-74.04879033565521,-10
JC076,Dixon Mills,40.721630142638354,-74.04996782541275,4
JC077,Astor Place,40.71928220070702,-74.07126188278198,-1
JC078,Lafayette Park,40.71346382669195,-74.06285852193832,-7
JC080,Leonard Gordon Park,40.74590996631558,-74.0572714805603,-6
JC081,Brunswick & 6th,40.72601172964625,-74.05038893222809,-12
JC082,Manila & 1st,40.721650724879986,-74.04288411140442,14
JC084,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,-18
JC093,Fairmount Ave,40.72572613742557,-74.07195925712585,-39
JC094,Glenwood Ave,40.72755146730012,-74.07106071710587,-89
JC095,Bergen Ave,40.722103786686034,-74.07145500183105,-17
JC097,York St & Marin Blvd,40.716615000830494,-74.0424120426178,-6
JC098,Washington St,40.7242941,-74.0354826,-5
JC099,Montgomery St,40.71942,-74.05099,4
JC102,Grand St,40.71517767732029,-74.03768330812454,8
JC103,Journal Square,40.73367,-74.0625,-27
JC105,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,-13
JC107,Grant Ave & MLK Dr,40.70919832245443,-74.08084273338318,0
JC108,Bergen Ave & Stegman St,40.70657545063453,-74.0867006778717,4
JC109,Bergen Ave & Sip Ave,40.73100888698729,-74.06443700194359,-44
JC110,JC Medical Center,40.71539114317,-74.04969155788422,-18
JC115,Grove St PATH,40.71941,-74.04309,14
JC116,Exchange Pl,40.71636596185077,-74.034343957901,14
JC117,Dr. Lena Edwards Park,40.713203,-74.058261,-2
JC118,Pacific Ave & Communipaw Ave,40.711354,-74.062446,0
JC119,Garfield Light Rail,40.710526,-74.070112,14
JC120,Arlington Ave & Bramhall Ave,40.713225,-74.070645,2
JC121,MLK Dr & Bramhall Ave,40.71647,-74.07413,-11
JC122,Union St & Bergen Ave,40.71575,-74.07887,3
JC123,Carteret Ave & Arlington Ave,40.709142,-74.074553,-5
JC124,West Side Ave Light Rail,40.714964,-74.08829,-5
JC127,Arlington Ave & Wilkinson Ave,40.704503,-74.07721,-3
JC130,Woodlawn Ave & Sterling Ave,40.7073,-74.09243,-3
JC131,West Side Ave & Stegman Pkwy,40.71087,-74.09368,5
JC132,Van Nostrand Ave & Ocean Ave,40.69983,-74.08416,4
JC133,Richard St Light Rail,40.6990691577764,-74.07915010654774,15
JC134,Wade St & MLK Dr,40.7017,-74.08952,-2
JC135,Danforth Ave & Sullivan Dr,40.70436,-74.09811,5
JC137,Ferris Triangle Park,40.69877,-74.09216,0
JC138,Ocean Ave & New St,40.6968,-74.08862,12
JC139,Danforth Light Rail,40.69277,-74.0878,-1
JC140,Caven Point Recreation Fields,40.69222,-74.08025,-3
JC142,Culver Ave & JFK Blvd,40.71005,-74.08576,-1
JC143,MLK Dr & Bayview Ave,40.7071,-74.08335,4
JC144,Danforth Ave & JFK Blvd,40.70056,-74.09474,5
JC145,Mallory Ave & Roosevelt Ave,40.72203,-74.08596,-3
JC148,Bay St & Washington St,40.720216,-74.03656,-5
JC149,Washington St & Morgan St,40.719445793042716,-74.03689158686865,24
